lease_bs_brand_jqxx.brandid,lease_bs_brand_jqxx.brandname,lease_bs_brand_jqxx.brandnameen,lease_bs_brand_jqxx.brandnamech,lease_bs_brand_jqxx.recordstatus,lease_bs_brand_jqxx.formatname,lease_bs_brand_jqxx.mainformatname,lease_bs_brand_jqxx.detailformatname
1029549,欢辣颂串串香,无,欢辣颂串串香,ACTIVE,餐饮美食,烧烤,串吧
1030675,NEWear,NEWear,NEWear,ACTIVE,生活精品,杂品配饰,配饰
1030670,格林岛,无,格林岛,ACTIVE,儿童业态,儿童零售,文教玩具
1030206,威尔康,无,威尔康,ACTIVE,餐饮美食,饮品烘焙,面包蛋糕
1030425,VR体验,无,VR体验,ACTIVE,体验业态,文化娱乐,VR/DIY体验
1030212,韩巢,无,韩巢,ACTIVE,服装服饰,女装,少淑女
1030220,Mowen,Mowen,Mowen,ACTIVE,服装服饰,女装,少淑女
1030519,珠城大先生花甲,无,珠城大先生花甲,ACTIVE,餐饮美食,简餐,特色小吃
1030520,CAPPS,CAPPS,CAPPS,ACTIVE,服装服饰,男女集合,国内休闲
1030518,瑞蒂妮丝,ruidinisi,瑞蒂妮丝,ACTIVE,服装服饰,女装,少淑女
1030709,微团,无,微团,ACTIVE,生活精品,家居家用,家居家饰
1030827,聚鸿源,无,聚鸿源,ACTIVE,生活精品,黄金珠宝,其他珠宝
1029919,翠翠姑娘,无,翠翠姑娘,ACTIVE,餐饮美食,简餐,米线/米粉
1030010,欧丽芙,I LOVE THE OLIVE,欧丽芙,ACTIVE,服装服饰,女装,少淑女
1030147,欧尼家,ounijia,欧尼家,ACTIVE,餐饮美食,异国餐饮,韩式烤肉
1030142,品丫品,无,品丫品,ACTIVE,餐饮美食,简餐,中式快餐
1030058,古渝味道,古渝味道,古渝味道,ACTIVE,餐饮美食,简餐,中式面
1030678,维塔利丝,无,维塔利丝,ACTIVE,餐饮美食,烧烤,铁板烧
1031101,舒肘子,shuzhouzi,舒肘子,ACTIVE,餐饮美食,中餐,川菜
1031192,丽荷家纺,无,丽荷家纺,ACTIVE,生活精品,家居家用,家居家饰
1031196,图雅的厨房,无,图雅的厨房,ACTIVE,餐饮美食,中餐,川菜
1031087,机地手机维修,无,机地手机维修,ACTIVE,体验业态,生活服务,其他生活服务
1031185,焦糖先生,Mr.Caramel Muffjn,焦糖先生,ACTIVE,餐饮美食,饮品烘焙,面包蛋糕
1031151,致普良品,ZPLP,致普良品,ACTIVE,服装服饰,男女集合,国内休闲
1031160,户外兵站,户外兵站,户外兵站,ACTIVE,生活精品,运动,户外运动
1030012,蒸汽博士,Dr.Vape,蒸汽博士,ACTIVE,生活精品,杂品配饰,配饰
1030017,韩蹄,KAIDT,韩蹄,ACTIVE,餐饮美食,简餐,特色小吃
1030106,柒牌+弗兰费雷,无,柒牌+弗兰费雷,ACTIVE,服装服饰,男装,时尚
